Problem ID,Problem,Short Answer,Category,Subcategory,Source
imo-bench-algebra-011,"Let $m\ge 3$ be an integer. An $m$-tuple of real numbers $(a_1,a_2,\ldots,a_m)$ is said to be Sparkling if for each permutation $b_1,b_2,\ldots ,b_m$ of these numbers we have $$b_1 b_2 +b_2 b_3 +\cdots+b_{m-1}b_{m}\geqslant-4$$. Find the largest constant $T=T(m)$ such that the inequality $$\sum \limits_{1 \le p< q \le m} c_p c_q \ge T$$ holds for all sparkling tuples $(c_1,c_2,\ldots,c_m)$.
",$2-2m$,Algebra,Inequality,IMO Shortlist 2017
imo-bench-algebra-012,"For a real number $T$, it is said that no matter how five distinct positive real numbers $a, b, c, d, e$ are given, it is possible to choose four distinct numbers $e, f, g, h$ from them such that $$|ef-gh|\le Tfh.$$ Find the minimum value of $T$ for which this is possible.
",$\frac{1}{2}$,Algebra,Other,IMO Shortlist 2017
imo-bench-algebra-013,"Determine all functions $Q$ from the real numbers to itself such that $Q(0)\neq0$ and

$$\frac{1}{2}Q(m+n)^{2}-Q(m)Q(n)=\max\left\{ Q\left(m^{2}+n^{2}\right)\right, Q\left(m^{2}\right)+Q\left(n^{2}\right)\}$$

for all real numbers $m$ and $n$.
","$Q(x)=-2, Q(x)=2x-2$",Algebra,Functional Equation,IMO Shortlist 2016
imo-bench-algebra-014,"Given a positive integer $a$, find the maximum possible value of
$$ \sum_{1 \le m < n \le 2a} (n-m-a)p_mp_n $$
for real numbers $p_1, \ldots, p_{2a}$ with absolute values not exceeding $2025$.
",$2025^2 a(a-1)$ ,Algebra,Inequality,IMO Shortlist 2016
imo-bench-algebra-015,"Suppose that $g:\mathbb{Z}\to O$, where $O$ is the set of odd integers, satisfies
$$g(a + g(a) + b)-g(a+b) =  g(a-b)-g(a-g(a)-b)$$
for all integers $a,b$. Furthermore, we have $g(0)=9, g(1)=27, g(2)=3$, and $g(10)=63$. Find all possible values of $g(2025)$.",8109,Algebra,Functional Equation,IMO Shortlist 2015
imo-bench-algebra-016,"The 'price' of a finite sequence of real numbers $a_1, \ldots, a_m$ is defined as $$\max_{1\le k\le m}|a_1+\cdots +a_k|.$$ Given $m$ real numbers, Sam and George try to minimize the price of the sequence formed by arranging these real numbers appropriately. Sam compares all possible $m!$ arrangements and chooses the sequence with the smallest price $S$. On the other hand, George chooses one of the numbers with the smallest absolute value as $a_1$, and then sequentially chooses $a_2, \ldots, a_m$. When choosing $a_i$, he randomly selects one of the possible values among the numbers that have not been selected as $a_1, \ldots, a_{i-1}$ such that $|a_1 + a_2 + \ldots + a_{i-1} + a_i|$ is minimized. Let the price of the sequence created in this way be $G$. Regardless of the initial numbers and the sequence George chooses, find the maximum value of the real number $k$ that satisfies $S \ge kG$.
",$\frac{1}{2}$,Algebra,Sequence,IMO Shortlist 2015
imo-bench-algebra-017,"A real coefficient polynomial $f(x)$ satisfies the condition that for all real numbers $a$ and $b$, $|a^2 - 2f(b)| \le 2|b|$ if and only if $|b^2 - 2f(a)| \le 2|a|$. Find all possible values of $f(0)$.
","$(-\infty,0)\cup\{\frac{1}{2}\}$",Algebra,Polynomial,IMO Shortlist 2014
imo-bench-algebra-018,"Let $a_0, a_1, \ldots$ be a sequence of non-negative integers. Suppose that for all non-negative integers $p$,
$$a_{a_{a_p}} = a_{p+1} + 1.$$
Find all possible value of $a_{2025}$.
","2026, 2030",Algebra,Functional Equation,IMO Shortlist 2014
imo-bench-algebra-019,"Let $a_1, a_2, \ldots, a_{2025}$ be positive integers such that for each positive integer $m$,
$$\left(\left (\sum^{2025}_{j=1} j a^m_j \right)-1\right)^{\frac{1}{m+1}}$$ is an integer. Find all possible value of $a_1+a_2+ \cdots +a_{2025}$.
",4151879777,Algebra,Equation,IMO Shortlist 2013
imo-bench-algebra-020,"Find all $P:\mathbb{R}\rightarrow \mathbb{R}$ such that $P$ is not identically zero and there exists $Q:\mathbb{R}\rightarrow \mathbb{R}$ satisfying

\[
Q(P(a))-P(b)=(b+a)Q(2a-2b)
\]

for all real numbers $a,b$.
",$P(x)=2x^{2}+c$,Algebra,Functional Equation,IMO Shortlist 2011
imo-bench-algebra-021,"The sum of real numbers $x, y, z, w$ is $12$, and the sum of their squares is $48$. Find the minimum possible value of $$x^4+y^4+z^4+w^4-8(x^3+y^3+z^3+w^3).$$
",-768,Algebra,Inequality,IMO Shortlist 2011
imo-bench-algebra-022,"Let $a_{1},\ldots,a_{2024}$ be nonnegative real numbers such that $a_{x}+a_{x+1}+a_{x+2}\leq2$ for all $x=1,\ldots,2024$ (we put $a_{2025}=a_{1},a_{2026}=a_{2}$ ). Find the maximal possible value of the sum

\[
\sum_{x=1}^{2024}a_{x}a_{x+2}
\]
",1012,Algebra,Inequality,IMO Shortlist 2010
imo-bench-algebra-023,"Find the minimum value of an integer $N$ that satisfies the following condition:

Given 2025 non-degenerate triangles, each triangle has one side colored green, one side colored purple, and one side colored orange. Let the lengths of the green sides be $g_1 \ge g_2 \ge \cdots \ge g_{2025}$, the lengths of the purple sides be $p_1 \ge p_2 \ge \cdots \ge p_{2025}$, and the lengths of the orange sides be $o_1 \ge o_2 \ge \cdots \ge o_{2025}$. Then, the number of $1 \le a \le 2025$ such that $g_a, p_a, o_a$ do not form the sides of a triangle is always less than or equal to $N$.
",2024,Algebra,Sequence,IMO Shortlist 2010
imo-bench-algebra-024,"A function $C$ from the set of positive integers to itself is called ""nice"" if for all positive integers $a, b$, $C(a+b) - C(a) - C(C(b)) + 1 \ge 0$. Find all possible values of $C(1234)$ for a nice function $C: \mathbb{N} \rightarrow \mathbb{N}$.
","$1,2,\ldots, 1235$",Algebra,Functional Equation,IMO Shortlist 2009
imo-bench-algebra-025,"Find all functions $A:\mathbb{R}\rightarrow\mathbb{R}$ such that $A(p)A(q)+A(-pq)=A(p+q)+2pq+1$ holds for all real numbers $p$ and $q$.
","$A(x)=1-x, A(x)=1+2x, A(x)=1-x^{2}$",Algebra,Functional Equation,IMO Shortlist 2007
imo-bench-algebra-026,"Suppose that a function $f:\mathbb{Q}\rightarrow\mathbb{F}_2$ satisfies $f(r)+f(r')=1$ for all distinct rational numbers $r, r'$ satisfying either $r+r'=0$ or $r+r'=1$ or $rr'=1$. Suppose further that $f(11/3)=1$. Evaluate
$f(7/3)+f(11/4)+f(2024/5)+f(109/11)+f(3/71)+f(5/204)$",1,Algebra,Other,IMO Shortlist 2005
imo-bench-algebra-027,"A function $g:\mathbb{R}\to\mathbb{R}$ is called a \textit{good function} if $g$ satisfies
\[
4g\left(x^{2}+y^{2}+2g(xy)\right)=(g(2x+2y))^{2}
\]
for all pairs of real numbers $x$ and $y$. For a real number $r$, we say that $t\in \mathbb{R}$ is a \textit{$r$-represented number} if there exists a good function $g$ such that $t=g(r)$. Find the set of all $r$ such that there are four $r$-represented number.","$(-\infty,-4)\cup (-4,-\frac{8}{3})$",Algebra,Functional Equation,IMO Shortlist 2004
imo-bench-algebra-028,"A function $\tau:\mathbb{R}\rightarrow\mathbb{R}$
satisfies all three of the following conditions:

(1) If $a\le b$, then $\tau(a)\le \tau(b)$.

(2) $\tau (0) = 0, \tau (1) = 1$, and $\tau(2)=\pi$.

(3) If $c>1>d$, then $ \tau (c + d - cd)=\tau (c) + \tau (d) -\tau (c) \tau (d)$.

Find all the possible values of $\tau(-1)$.
","$(-\infty , 0]$",Algebra,Functional Equation,IMO Shortlist 2004
imo-bench-algebra-029,"Find all functions $g:\mathbb{R}^+\rightarrow\mathbb{R}^+$ such that for all positive real numbers $q, w, e$, $g(4qwe)+g(q)+g(w)+g(e)=9g(\sqrt{qw})g(\sqrt{eq})g(\sqrt{we})$, and if $r>t\ge \frac{1}{2}$, then $g(r)>g(t)$.
",$g(x)=\frac{1}{3} ((2x)^a +(2x)^{-a})$ for some $a>0$,Algebra,Functional Equation,IMO Shortlist 2003
imo-bench-algebra-030,"Find the maximum value of $D$ satisfying the following condition: There exists an infinite sequence $x_1, x_2, \ldots$ where each term belongs to $[0, 777]$ such that for all positive integers $m < n$, we have $$(m+n)|x_n^2 - x_m^2| \ge D.$$
",603729,Algebra,Inequality,IMO Shortlist 2003
imo-bench-algebra-031,"Let $E$ be the set of nonnegative even integers. Find all functions $T:E^3\rightarrow \mathbb{R}$ such that for all even integers $k, m, n$,

$$ T(k,m,n) = \begin{cases} k+m+n & \text{if} \; kmn = 0, \\
3 + \frac{1}{6}(T(k + 2,m - 2,n) + T(k + 2,m,n - 2) & \\
+ T(k,m + 2,n - 2) + T(k,m - 2,n + 2) & \\
+ T(k - 2,m + 2,n) + T(k - 2,m,n + 2)  ) & \text{otherwise} \end{cases}
$$
","$T(p,q,r)=0 if (p,q,r)=(0,0,0), p+q+r+\frac{9pqr}{4(p+q+r)} otherwise$",Algebra,Functional Equation,IMO Shortlist 2002
imo-bench-algebra-032,"We call $g: \mathbb{R} \rightarrow \mathbb{R}$ a good function if $g$ satisfies all the following conditions:

(1) For any two distinct real numbers $a, b$, if $g(ab) = 0$, then $g(a) = 0$ or $g(b) = 0$.
(2) For any two distinct real numbers $a, b$, if $g(ab) \neq 0$, then $$\frac{g(a)-g(b)}{a-b}=\frac{g(a)g(b)}{g(ab)}.$$
(3) $g(1)=1$
\\
Let $S=\{2^a 3^b 5^c 7^d : a,b,c,d\in \mathbb{Z}\}$ and we call $h:S\rightarrow \mathbb{R}$ an essential function if there exists a good function $g$ such that $h(x)=g(x)$ for all $x\in S$. Find the number of essential functions. ",16,Algebra,Functional Equation,IMO Shortlist 2001
imo-bench-algebra-033,"Find all pairs $(M, x_0, x_1, \ldots , x_M)$ of positive integers $x_0, x_1, \ldots, x_M$ that satisfy the following three conditions:

(1) $x_0 = 1$.
(2) For each $1 \le i < M$, $x_{i+1} \ge 1 + \frac{x_i^3 - x_i^2}{x_{i-1}}$.
(3) $\sum_{i=1}^{M} \frac{x_{i-1}}{x_i} = 0.9375$.
","$(4, 1, 2, 5, 134, 718240)$",Algebra,Sequence,IMO Shortlist 2001
imo-bench-algebra-034,"Find all functions $P, Q: \mathbb{R} \rightarrow \mathbb{R}$ such that for all real numbers $m, n$,
$$P(m+Q(n))=nP(m) - m P(n) + Q(m).$$
","$P(x)=(cx+c^{2})/(1+c), Q(x)=cx+c^{2}$, where $c\ne -1$",Algebra,Functional Equation,IMO Shortlist 2001
imo-bench-algebra-035,"Find all real-coefficient polynomials $f$ such that $2f(0.5f(n))=f(f(n))-f(n)^2$ holds for all real numbers $n$.
","$f(x)=-1, f(x)=2x^{2}+b x, f(x)=0$",Algebra,Polynomial,Iran 2002
imo-bench-algebra-036,"Find all functions $Y: \mathbb{R} \backslash\{0\} \rightarrow \mathbb{R}$ such that for any non-zero real numbers $a, b$ with $ab \neq -1$, the following equation holds:
\[
a Y\left(a+\frac{1}{b}\right)+b Y(b)+\frac{a}{b}=b Y\left(b+\frac{1}{a}\right)+a Y(a)+\frac{b}{a}
\]
,"$Y(x)=A+\frac{B}{x}-x$",Algebra,Functional Equation,Iran 2002
imo-bench-algebra-037,"Find all functions $X: \mathbb{C} \rightarrow \mathbb{C}$ such that the equation
$$X(X(a)+b X(b)-b-1)=1+a+|b|^{2}$$
holds for all complex numbers $a,b\in \mathbb{C}$ and that $X(1)=u$ for some $u\in \mathbb{C}$ such that $|u-1|=1$.
",$X(y)=1+(u-1) \bar{y}$,Algebra,Functional Equation,Iran 2024
imo-bench-algebra-038,"For real numbers $c, v > 1$, suppose there exist real-coefficient polynomials $A(x)$ and $B(x)$, neither of which is a constant polynomial and both of which have a leading coefficient of 1, such that for each positive integer $t$, the real solutions of $A(x) = c^t$ and $B(x) = v^t$ agree. Find all possible pairs $(c, v)$.","all $(c,v)$ for which $c,v>1$ and $\frac{\log c}{\log v}\in\mathbb{Q}$
",Algebra,Polynomial,Iran 2024
imo-bench-algebra-039," Let $p, q, r, s$ be constants such that the equation $py^3 + qy^2 + ry + s = 0$ has three distinct real roots. Find all possible values for the number of distinct real roots of the equation
$$\left(pz^{3}+qz^{2}+rz+s\right)(12pz+4q)=\left(3pz^{2}+2qz+r\right)^{2}.$$
", 2,Algebra,Equation,Ukraine 1997
imo-bench-algebra-040,"Find all functions $G:\mathbb{R}\rightarrow\mathbb{R}$ that satisfy both of the following conditions:

(1) For all real numbers $m,n$, $G(m)+G(n)-G(m+n)\in\{1,2\}$.
(2) For all real numbers $l$, $\lfloor G(l) \rfloor -   \lfloor l \rfloor =1$.
",f(x)=x+1,Algebra,Functional Equation,Korea 2018
imo-bench-algebra-041,"Find all $f \in \mathbb{C}[x,y]$ such that for all complex numbers $a, b$,
$$f(a^2,b^2)=f\left(\frac{(a-b)^{2}}{2}, \frac{(a+b)^{2}}{2}\right).$$
","$f(x,y)= g(x+y, xy(x-y)^{2})$ for some polynomial $g$",Algebra,Polynomial,Iran 2009
imo-bench-algebra-042,"A sequence $f_1, f_2, \ldots, f_{1028}$ of non-negative real numbers is said to be concave if for each $1 < i < 1028$, $f_{i+1} \le 2f_i - f_{i-1}$. Find the minimum value of the constant $L$ such that the inequality

$$L \sum_{j=1}^{1028} i f_{i}^{2} \geq  \sum_{i=1}^{1028} f_{i}^{2}$$

holds for all concave sequences $f_1, f_2, \ldots, f_{1028}$.
",$\frac{685}{176302}$,Algebra,Sequence,Iran 2010
imo-bench-algebra-043,"A sequence $b_1, b_2, \ldots, b_k$ is said to 'increase steeply' if each term is positive, and for each $2 \le i \le k$, $b_i \ge b_{i-1} + \cdots + b_2 + b_1$. Find the maximum value of the constant $S$ such that for all $k$ and steeply increasing sequences $b_1, b_2, \ldots, b_k$,
$$S\sum_{i=1}^k{\sqrt{x_i}}\le \sqrt{\sum_{i=1}^k{x_i}}$$
holds.
",$\sqrt{2}-1$,Algebra,Inequality,IMO Shortlist 1986
imo-bench-algebra-044,"Find the maximum value of the constant $U$ such that $(2x^2+1)(2y^2+1)(2z^2+1)\ge U(xy+yz+zx)$ is always true for positive real numbers $x, y, z$.
",$\frac{9}{2}$,Algebra,Inequality,APMO 2004
imo-bench-algebra-045,"We say that a tuple $(u,v,w)$ of positive real numbers is 'entangled' if $(u+v+w)^3 = 32uvw$.  For entangled $(u,v,w)$, find the sum of the minimum and maximum possible value of
$$\frac{uvw(u+v+w)}{u^4+v^4+w^4}.$$
",$\frac{17458+2970\sqrt{5}}{23769}$,Algebra,Inequality,Vietnam 2004
imo-bench-algebra-046,"$(x,y,z) \in \mathbb{R}^3$ is a unit vector with respect to the Euclidean distance. Find the minimum possible value of $9xyz - 2(x+y+z)$.
",$-\frac{10}{3}$,Algebra,Inequality,Vietnam 2002
imo-bench-algebra-047,"We call a real number $x$ 'mysterious' if it is a  solution to $A(x) = \frac{1}{\sqrt[3]{3}}x$ for some polynomial $A(x)$ with rational coefficients. Find all polynomials $A(x)$ with rational coefficients of lowest possible degree such that $\sqrt[3]{3} + \sqrt[3]{9}$ is mysterious.
",$A(x)=\frac{1}{2}(x^2-x-4)$,Algebra,Polynomial,Vietnam 1997
imo-bench-algebra-048,"Let $P$ be a real-coefficient polynomial with positive leading coefficient such that $tP(t)P(1-t) \ge -225 - t^3$ holds for all real numbers $t$. Find all possible values of $P(0)$.
","$[-6,5]$",Algebra,Polynomial,Czech-Slovakia 1995
imo-bench-algebra-049,"Real numbers $d$ and $f$, and negative real numbers $\alpha$ and $\beta$ satisfy the following two conditions.

(1) $\alpha^{4}+4\alpha^{3}+4\alpha^{2}+d\alpha+f=\beta^{4}+4\beta^{3}+4\beta^{2}+d\beta+f=0$
(2) $\frac{1}{\alpha}+\frac{1}{\beta}=-2$

Find the minimum possible value of $d-f$.
",$\frac{16}{27}$,Algebra,Inequality,Moldova 2008
imo-bench-algebra-050,"Let $r$ be the unique positive root of $x^3+x^2+x-10=0$. Suppose that for non-negative integers $k_0, k_1, k_2, \ldots , k_{100}$, we have $$\sum_{i=0}^{101}k_i r^i=2025.$$ Find the minimum possible value of $\sum_{i=0}^{101}k_i$.
",44,Algebra,Polynomial,Vietnam 2015
imo-bench-algebra-051,"Find all possible positive integer $n$ such that there exists polynomial $P(x), Q(x)$ with integer coefficients such that
\[
    P(x)^2 + 3P(x)Q(x) + 2Q(x)^2 = x^{n+2} - 3x^{n+1} + 2x^{n} + 6
\]
and $1 \le \deg P \le n + 1$.",odd $n$,Algebra,Polynomial,Czech-Polish-Slovak Match 2005
imo-bench-algebra-052,"Find the minimal $d$ satisfying the following property:

For any sequence of integers $x_1, x_2, \ldots, x_n$ satisfying
\[
    0 \le x_i \le 100, \quad \sum_{i=1}^n x_i \ge 1810
\]
for all $i = 1, 2, \ldots, n$, there exists a subset $I$ of $\{1,2, \ldots, n\}$ such that
\[
    \left| \sum_{i \in I} x_i - 1810 \right| \le d.
\]",48,Algebra,Sequence,Argentina 2017
imo-bench-algebra-053,"Let $x, y, z$ be real numbers such that
\[
    |x^2 + 2yz + 2(x + y + z) + 3|, |y^2 + 2zx + 2(x + y + z) + 3|, |z^2 + 2xy + 2(x + y + z) + 3|
\]
are three heights of a (non-degenerate) triangle. Find all possible values of $xy + yz + zx + 2(x + y + z)$.","$(-\infty, -3) \cup (-3, \infty)$",Algebra,Inequality,Czech and Slovak 2018
imo-bench-algebra-054,"Let $a_0, a_1, a_2, \ldots$ be an infinite sequence of integers that is not eventually periodic, which means there does not exist integers $N, d > 0$ such that $a_{n + d} = a_n$ for all integers $n \ge N$.

Let $S$ be the set of $2025$-tuples containing $(a_{n + 1}, \ldots, a_{n + 2025})$ for $n = 0, 1, \ldots$. Find the minimum number of elements of $S$.",2026,Algebra,Sequence,Italia 2018
imo-bench-algebra-055,"Consider a sequence of positive integers $x_1, x_2, \ldots$ satisfying the following condition:
\[
    (x_{2n + d} - x_{n + d} - n)(x_{2n + d} - x_n - n - d) = 0
\]
for all integers $n \ge 32$ and $d \ge 1024$. Find the value of the largest possible positive integer $n$ for which $x_{n + 1} - x_n \neq 1$.",2079,Algebra,Sequence,Japan 2018
imo-bench-algebra-056,"Find the smallest positive integer $k$ such that there exist two polynomials $f(x),g(x)$ with integer coefficients, both of degree at least 2025 and leading coefficients at least 1000, such that
\[
    f(g(x)) - 3g(f(x)) = k
\]
for infinitely many real numbers $x$. ",1,Algebra,Polynomial,Korea 2018
imo-bench-algebra-057,"Let $p$ be a positive rational number. Alice and Bob each have a blackboard, initially displaying 0. In the $n$-th minute ($n = 1, 2, 3, \ldots$) they independently add $p^n,0$, or $-p^n$ to the number on their respective boards.

After a certain number of minutes, their blackboards display the same number, despite having made at least one different choice during the process. Determine all possible values of $p$.","1/2,1,2",Algebra,Operation,Balkan 2018
imo-bench-algebra-058,"For all positive integers $n$ and all real numbers $a_1, \ldots, a_n$ less than or equal to $2 / \sqrt{n}$ such that $\sum_{i=1}^n a_i^3 = 0$, find the maximum value of $\sum_{k=1}^n a_i^2$.(guess the uniform maximum value for all n)", $\frac{16}{3}$,Algebra,Inequality,Romania 2018
imo-bench-algebra-059,"Compute the integral part of the number
\[
    \sum_{n=1}^{2024}\frac{2025^n}{\left(1+2025\right)\cdots\left(n+2025\right)}-\sum_{n=1}^{2024}\left(1-\frac{1}{2025}\right)\cdots\left(1-\frac{n}{2025}\right).
\]",0,Algebra,Inequality,Romania 2018
imo-bench-algebra-060,"Let $n, p, q$ be positive integers such that
\[
    S = \frac{12 + n}{p} + \frac{13 - n}{q} < 1, \quad 1 \le n \le 12.
\]
Find the maximum possible value of $S$.", $\frac{2617}{2618}$,Algebra,Inequality,Singapore 2018
imo-bench-algebra-061,"Call a polynomial $P(x, y, z)$ with integer coefficients \emph{good} if for any real numbers $x, y, z$, $P(x, y, z) = 0$ if and only if $x = y = z$.

Find the maximal integer $n$ such that for all \emph{good} polynomials $P$ and integers $a, b, c$ satisfying $b - a = c -b\ne 0$, $P(a, b, c)$ is divisible by $(b - a)^n$.",2,Algebra,Polynomial,Singapore 2018
imo-bench-algebra-062,"Let $x_0, x_1, \ldots, x_{2024}$ and $y_1, y_2, \ldots, y_{2024}$ be two real sequences such that for all $n = 0, 1, \ldots, 2023$,
\[
    x_{n+1} = 4x_n^2, \quad y_{n+1} = x_n \quad \text{ or } \quad x_{n+1} = \frac{x_n}{2}, \quad y_{n+1} = \frac{1}{4} - x_n
\]
holds, and $x_{2024} \le x_0$. Find the maximal value of $y_1 + \cdots + y_{2024}$.
",506,Algebra,Sequence,Turkey 2018
imo-bench-algebra-063,"Let $a, b, c$ be lengths of the sides of some triangle of positive area, satisfying
\[
    a^2b^2 = 2(a + b - c)(b + c - a)(c + a - b).
\]
Find the maximum value for $a + b + c$.
",8,Algebra,Inequality,Austria 2017
imo-bench-algebra-064,"Let $a, b, c, k$ be nonzero real numbers such that
\[
    a - b = kbc, \quad b - c = kca, \quad c- a = kab.
\]
Find all possible values of $\frac{a}{c} + \frac{b}{a} + \frac{c}{b}$.
",-3,Algebra,Inequality,Belarus 2017
imo-bench-algebra-065,"Find all positive real $c$ such that there exists an infinite sequence of positive real numbers $a_1, a_2, \dots$ satisfying
\[
    a_{n+2}^2 - a_{n+1} + c a_n = 0
\]
for all $n \ge 1$.
",$0<c<1$,Algebra,Sequence,Belarus 2017
imo-bench-algebra-066,"A sequence of integers $a_0, \ldots, a_{1000}$ is called a \textit{good sequence} if there exists a sequence of integers $b_0, \ldots, b_{1000}$ such that
\[
    \prod_{k=0}^{1000} (x - a_k) = \prod_{k=0}^{1000} (x - k)^{b_k}, \quad \prod_{k=0}^{1000} (x - b_k) = \prod_{k=0}^{1000} (x - k)^{a_k}
\]
for all $x$. Find all the possible values of $\sum_{i=0}^{1000} (i+1)a_i^2$ for good sequences $a_0, \ldots, a_{1000}$.","997008, 995026, 995018",Algebra,Sequence,Korea 2017
imo-bench-algebra-067,"Find all triples $(n,x,y)$ where $n\ge 2$ is a positive integer and $x,y$ are rational numbers such that
\[
    (x - \sqrt{2})^n = y - \sqrt{2}.
\]
","$(2, \frac{1}{2}, \frac{9}{4})$",Algebra,Equation,Romania 2017
imo-bench-algebra-068,"Find all positive integers $n$ satisfying the following condition.

[Condition] For any positive integer $d \le n$ and a polynomial $Q(x)$ with integer coefficients and of degree less than $d$, there exists a positive integer $k \le n$, and $k + 1$ distinct integers $a_1, \ldots, a_{k+1}$ such that
\[
    Q(a_{k+1}) - \sum_{i=1}^k Q(a_i) = a_{k+1}^d - \sum_{i=1}^k a_i^d.
\]
",2,Algebra,Polynomial,RMM 2017
imo-bench-algebra-069,"For a positive integer $n \ge 2$, let $A_n$ be the minimal positive real number such that there exist $n$ real numbers $a_1, \ldots, a_n$ satisfying the following conditions:

(i) Not all $a_1, \ldots, a_n$ are zero.

(ii) For $i = 1, \ldots, n$, if $a_{i+2} > a_{i+1}$, then $a_{i+2} \le a_{i+1} + A_n a_i$. Here, $a_{n+1} = a_1$ and $a_{n+2} = a_2$.

(iii) $a_1 + \cdots + a_n = 0$.

Find all $n$ such that $A_n=2$.
",even $n$,Algebra,Sequence,Serbia 2017
imo-bench-algebra-070,"Let $a, b, c$ be positive real numbers satisfying
\[
    \frac{(2a+1)^2 }{4a^2 + 1} + \frac{(2b+1)^2 }{4b^2 + 1} + \frac{(2c+1)^2 }{4c^2 + 1} = \frac{1}{2(a+b)(b+c)(c+a)} + 3.
\]
Find all possible values of $ab + bc + ca$.
",$\frac{1}{4}$,Algebra,Inequality,Ukraine 2017
imo-bench-algebra-071,"Find the minimum possible value of
\[
    \frac{y}{16x^3 + 1} + \frac{z}{16y^3 + 1} + \frac{w}{16z^3 + 1} + \frac{x}{16w^3 + 1}
\]
where $x, y, z, w$ are nonnegative real numbers satisfying $x + y + z + w = 1$.
",$\frac{2}{3}$,Algebra,Inequality,USAMO 2017
